"","ageattest","C3","C10","C25","C50","C75","C90","C97"
"51",99,13.5524543476961,14.4406548832696,15.5697440196984,17.2355063603328,19.4236476959999,21.9032685634523,25.0751658618129
"52",100,13.5697948912692,14.4614076143023,15.5994936457624,17.2878451160083,19.5081725748667,22.0125275175312,25.196893212068
"53",101,13.5876033392256,14.4826868730965,15.6297937558899,17.3406846883864,19.5930185264798,22.1216974378415,25.3177638663024
"54",102,13.6058354958337,14.5044767950635,15.6606430959922,17.3939969195944,19.6781052761378,22.2307035940639,25.437821226577
"55",103,13.6244463005077,14.5267609796352,15.6920397464206,17.4477515639125,19.7633479987358,22.3394660655463,25.5571034562772
"56",104,13.6433898892063,14.5495224936541,15.7239814424883,17.501917989785,19.848661420389,22.4479059761846,25.6756514645385
"57",105,13.6626219854468,14.57274612102,15.7564680305458,17.5564688473769,19.9339655261137,22.5559525314768,25.7935160754243
"58",106,13.6821311121099,14.5964472305925,15.7895331902703,17.6114282519412,20.0192604739083,22.6636362246253,25.9108564589172
"59",107,13.7019297204576,14.6206636326525,15.823235651565,17.6668589736679,20.1046074182438,22.7710650765364,26.0279146748418
"60",108,13.7220299146235,14.645433228321,15.857634737417,17.7228254633047,20.1900713301769,22.8783534601046,26.1449401705342
"61",109,13.7424428418331,14.6707935226962,15.8927898634928,17.7793929828801,20.2757195261378,22.9856201948002,26.2621877393762
"62",110,13.7631753226363,14.6967742906362,15.928750209272,17.8366170292688,20.3616111429979,23.0929708467166,26.3798802772026
"63",111,13.7842166442372,14.7233679583406,15.9655127174056,17.8945003597061,20.4477544606382,23.2004258833162,26.4980578563075
"64",112,13.8055505510726,14.7505552562208,16.0030578937864,17.9530289490234,20.5341415459107,23.3079786564192,26.6167027356998
"65",113,13.8271605688962,14.7783168578837,16.0413661829811,18.0121885818207,20.6207644537535,23.4156226074459,26.7357973401982
"66",114,13.8490297381508,14.8066330505663,16.0804175944008,18.071964447449,20.7076147633759,23.5233506957508,26.855323459146
"67",115,13.8711040171831,14.8354398651466,16.1201403650682,18.1322823159649,20.7946144144996,23.6310668362332,26.9751384185419
"68",116,13.8932539491267,14.8645828146542,16.1603564973935,18.1929456908198,20.881541275852,23.7384903085453,27.0948420451587
"69",117,13.9153407005955,14.8938956310562,16.2008735399783,18.2537405874605,20.9681518540151,23.8453126375166,27.2139966098304
"70",118,13.9372252537961,14.923211166399,16.2414972924858,18.3144501463392,21.054198569863,23.9512197571312,27.3321577698401
"71",119,13.9587736791833,14.9523669517445,16.2820379685987,18.3748621769347,21.1394393542708,24.0559036119284,27.4488882011545
"72",120,13.9799525480234,14.9813072375557,16.3224239387221,18.434907058611,21.2238109613956,24.1592704739846,27.5640025307939
"73",121,14.0008193852421,15.0100729690226,16.362690992665,18.4946456783401,21.307414808999,24.2614242343951,27.6775472125806
"74",122,14.021435519524,15.0387086305742,16.40287875043,18.5541444970262,21.390360639259,24.3624787045354,27.7895795725634
"75",123,14.0418628480256,15.0672587565502,16.4430267763952,18.613470889905,21.4727606692518,24.4625505644704,27.9001595481004
"76",124,14.062155455195,15.0957615886213,16.4831693520098,18.6726865490611,21.5547208805862,24.561753311869,28.009353805424
"77",125,14.0823143944558,15.1242150489984,16.5233075233516,18.7318120096446,21.636294232353,24.6601649959781,28.1172577804236
"78",126,14.102319194156,15.1526006420933,16.5634288826694,18.7908516190864,21.717513459513,24.7578508893823,28.2239793384423
"79",127,14.1221484327263,15.1808989952939,16.6035203840673,18.8498097643991,21.7984124015733,24.8548781348687,28.329628247288
"80",128,14.1417798067227,15.2090899265443,16.6435684173067,18.9086909567532,21.8790260629604,24.9513157223682,28.4343160121504
"81",129,14.1612041030111,15.2371692236199,16.6835776821691,18.9675187488523,21.9594086417143,25.0472551364099,28.538184681101
"82",130,14.1804467152835,15.2651746000101,16.7236004519874,19.0263650766125,22.0396615368624,25.1428425512612,28.6414517265581
"83",131,14.199537850228,15.2931501024894,16.7636966610137,19.0853102828627,22.1198951895509,25.2382350412641,28.7443487031764
"84",132,14.2185070001245,15.3211395138638,16.8039265114645,19.1444357124169,22.2002219930177,25.3335923984699,28.8471097623164
"85",133,14.2373826502433,15.3491857590144,16.8443496554723,19.2038228787617,22.2807554475547,25.4290757293119,28.9499688883078
"86",134,14.2561854489271,15.3773155490247,16.885003452426,19.2635312263307,22.3615881390888,25.5248116804253,29.0530894496454
"87",135,14.2749278135362,15.4055377527535,16.9259004290011,19.3235955031727,22.4427890672587,25.6208880105042,29.1565561270673
"88",136,14.2936215007092,15.4338599436106,16.9670515673308,19.3840495755049,22.5244271680309,25.7173917040644,29.2604504308178
"89",137,14.3122779998244,15.4622892756169,17.0084675522446,19.4449277236652,22.6065726019756,25.8144110397107,29.3648547791199
"90",138,14.330903845776,15.4908279536719,17.0501538115071,19.5062577575696,22.6892869432506,25.9120239940417,29.4698406482589
