ageattest,C3,C10,C25,C50,C75,C90,C97,n
121,128.6882604,132.6998188,136.6118561,140.9132362,145.3145378,149.4988709,153.9815884,444
122,129.0504905,133.0888598,137.0225603,141.3450113,145.767818,149.9752248,154.4879328,254
123,129.4083865,133.4741113,137.4298711,141.7737545,146.2184443,150.449373,154.9927298,1356
124,129.7616632,133.8552794,137.8334815,142.1991414,146.6660743,150.9209585,155.4956127,224
125,130.1102805,134.2323187,138.2333351,142.6211007,147.1106214,151.3898822,155.996475,539
126,130.4550764,134.6060714,138.6302729,143.0404684,147.5529156,151.8569709,156.4961456,1682
127,130.7970929,134.9775866,139.0253445,143.4582914,147.9940001,152.323266,156.9956702,560
128,131.1373844,135.3479258,139.4196125,143.8756292,148.4349304,152.7898219,157.4961073,324
129,131.4770157,135.7181613,139.8141498,144.2935518,148.8767729,153.2577032,157.9985264,1642
130,131.816909,136.0892237,140.2098886,144.7129895,149.3204548,153.7278371,158.5038606,324
131,132.1577327,136.4617911,140.6075103,145.1346234,149.7666564,154.2009057,159.0128012,651
132,132.5001368,136.8365241,141.0076788,145.5591172,150.2160409,154.6775743,159.5260232,1591
133,132.8447789,137.2140909,141.4110657,145.9871424,150.669279,155.1585161,160.0442093,190
134,133.1922895,137.5951323,141.8183149,146.4193421,151.1270127,155.6443746,160.5680129,248
135,133.5426879,137.9796682,142.2294392,146.8557181,151.5892318,156.1351319,161.0974154,553
136,133.8954581,138.3671735,142.6438986,147.2957096,152.0553545,156.6301893,161.6318084,106
137,134.2500607,138.7570997,143.0611281,147.7387305,152.5247727,157.1289214,162.1705563,29
138,134.6059506,139.1488918,143.4805563,148.1841875,152.9968708,157.6306946,162.7130147,76
